PRODUCTO;CATEGORÍA;PRECIO
Johnnie Walker Blue Tiffany (Sello Azul);WHISKY; $1.300.000,00 
Old Parr 18 Años 700ml;WHISKY; $450.000,00 
Buchanans Deluxe 375ml;WHISKY; $160.000,00 
Old Parr 1000ml;WHISKY; $300.000,00 
Buchanans Deluxe 1000ml;WHISKY; $350.000,00 
Buchanan Master 750cc;WHISKY; $340.000,00 
Buchanans Deluxe 750ml;WHISKY; $320.000,00 
Sello Negro Double Black 750ml;WHISKY; $340.000,00 
Chivas Regal 12 Años 750ml;WHISKY; $260.000,00 
Old Parr 500ml;WHISKY; $190.000,00 
Sello Rojo 750ml;WHISKY; $180.000,00 
Shots B. Master;WHISKY; $20.000,00 
Old Parr 750ml;WHISKY; $240.000,00 
Black Label 750ml;WHISKY; $250.000,00 
Buchanas Two Souls 750ml;WHISKY; $400.000,00 
Buchanans 18 Años 750ml;WHISKY; $550.000,00 
;;
Domeco Pipona 750ml;BRANDIS; $150.000,00 
Domeco Media 375ml;BRANDIS; $80.000,00 
Blanco Don Julio 750ml;TEQUILA; $400.000,00 
Reposado Don Julio 700ml;TEQUILA; $450.000,00 
Olmeca Reposado 750ml;TEQUILA; $200.000,00 
Jose Cuervo Reposado 750ml;TEQUILA; $200.000,00 
Shots Jose Cuervo;TEQUILA; $15.000,00 
Reserva 1800 Añejo;TEQUILA; $450.000,00 
Reserva 1800 Reposado;TEQUILA; $450.000,00 
1800 Cristalino;TEQUILA; $450.000,00 
Don Julio 70 Cristalino;TEQUILA; $550.000,00 
El Jimador Cristalino;TEQUILA; $250.000,00 
1800 Silver Blanco;TEQUILA; $350.000,00 
Don Julio Añejo;TEQUILA; $450.000,00 
Soda;SODA; $5.000,00 
Ron Medellín Media;RON; $80.000,00 
Ron Medellín Pipona 750ml;RON; $160.000,00 
Ron Medellín Shot;RON; $12.000,00 
Ron Medellín 5 Años 750ml;RON; $180.000,00 
Ron Medellín 8 Años 750ml;RON; $190.000,00 
Ron Medellín 12 Años 750ml;RON; $200.000,00 
Ron Medellín Gran Solera 19 Años;RON; $250.000,00 
Ron Viejo de Caldas Media;RON; $80.000,00 
Ron Viejo de Caldas 750ml;RON; $160.000,00 
Ron Viejo de Caldas 8 Años 750ml;RON; $200.000,00 
Michelada;MICHELADA; $3.000,00 
Gordon 700ml;GINEBRA / VODKA; $160.000,00 
Gordon Pink 700ml;GINEBRA / VODKA; $160.000,00 
Smirnoff 700ml;GINEBRA / VODKA; $180.000,00 
Smirnoff 375ml;GINEBRA / VODKA; $100.000,00 
Smirnoff Lulo 700ml;GINEBRA / VODKA; $150.000,00 
Vodka Absolut 700ml;GINEBRA / VODKA; $200.000,00 
Shot Vodka Absolut;GINEBRA / VODKA; $10.000,00 
Gaseosa PET 400ml;CERVEZA; $5.000,00 
Aguila Negra 330ml;CERVEZA; $6.000,00 
Budweiser Lata;CERVEZA; $6.000,00 
Club Colombia Botella;CERVEZA; $7.000,00 
Corona Grande;CERVEZA; $10.000,00 
Poker Botella 330ml;CERVEZA; $6.000,00 
Smirnoff Original Botella;CERVEZA; $15.000,00 
Heineken en Lata 269cc;CERVEZA; $6.000,00 
guila Light;CERVEZA; $6.000,00 
Coronita;CERVEZA; $6.000,00 
Costeñita;CERVEZA; $5.000,00 
Andinita Light 269ml;CERVEZA; $5.000,00 
Gatorade;BEBIDA ENERGIZANTE; $8.000,00 
Monster;BEBIDA ENERGIZANTE; $15.000,00 
Electrolit;BEBIDA ENERGIZANTE; $13.000,00 
Aguardiente Antioqueño Media;AGUARDIENTES; $80.000,00 
Aguardiente Antioqueño Pipona 750cc;AGUARDIENTES; $160.000,00 
Aguardiente Antioqueño Shot (trago);AGUARDIENTES; $10.000,00 
Aguardiente Antioqueño Litro;AGUARDIENTES; $200.000,00 
Aguardiente Amarillo 750ml;AGUARDIENTES; $160.000,00 
Agua 600ml;AGUA; $4.000,00 
;;
